Employee ID,Year,Performance Feedback ID,Goal Clarity,Support for Goals,Manager Feedback Effectiveness,Team Collaboration Score,Additional Support Needed,Career Growth Satisfaction,Overall Performance Rating
1001,2021,1,No,No,2,5,More training resources,Yes,3
1001,2022,2,No,Yes,3,1,More career growth opportunities,No,3
1001,2023,3,Yes,No,2,5,More team collaboration opportunities,No,4
1002,2020,4,Yes,No,1,4,More team collaboration opportunities,No,1
1002,2021,5,No,Yes,3,3,Improved work-life balance,No,3
1002,2022,6,Yes,No,5,5,Improved work-life balance,Yes,4
1002,2023,7,Yes,No,3,5,More team collaboration opportunities,No,4
1003,2018,8,Yes,No,4,5,More training resources,No,5
1003,2019,9,No,No,1,4,Improved work-life balance,No,3
1003,2020,10,Yes,Yes,4,3,Better communication from management,Yes,3
1003,2021,11,Yes,Yes,3,4,More training resources,Yes,3
1003,2022,12,No,Yes,2,2,More team collaboration opportunities,No,2
1003,2023,13,No,Yes,4,3,Better communication from management,No,4
1004,2021,14,No,No,5,5,More career growth opportunities,Yes,3
1004,2022,15,Yes,No,3,2,Improved work-life balance,No,2
1004,2023,16,No,Yes,3,3,More training resources,No,3
1005,2019,17,Yes,Yes,5,3,Better communication from management,No,2
1005,2020,18,Yes,No,3,3,Better communication from management,No,5
1005,2021,19,No,No,1,1,More training resources,No,3
1005,2022,20,No,Yes,2,2,More team collaboration opportunities,Yes,2
1005,2023,21,No,No,4,2,More career growth opportunities,Yes,4
1007,2022,22,Yes,No,5,4,Improved work-life balance,Yes,5
1007,2023,23,Yes,No,2,4,Improved work-life balance,Yes,5
1008,2019,24,No,Yes,5,5,Improved work-life balance,No,4
1008,2020,25,Yes,No,3,5,More career growth opportunities,Yes,4
1008,2021,26,Yes,Yes,4,4,Better communication from management,No,3
1008,2022,27,Yes,No,3,2,Better communication from management,Yes,1
1008,2023,28,Yes,No,2,2,Better communication from management,No,2
1009,2021,29,No,Yes,5,5,More team collaboration opportunities,Yes,2
1009,2022,30,Yes,Yes,3,5,More team collaboration opportunities,Yes,5
1009,2023,31,Yes,Yes,3,3,Improved work-life balance,No,5
1010,2020,32,Yes,Yes,5,4,More training resources,No,5
1010,2021,33,Yes,No,1,4,Improved work-life balance,No,1
1010,2022,34,No,No,5,1,Better communication from management,Yes,1
1010,2023,35,Yes,No,2,5,Improved work-life balance,Yes,3
1011,2020,36,Yes,Yes,4,4,Improved work-life balance,No,1
1011,2021,37,Yes,Yes,1,2,Improved work-life balance,Yes,2
1011,2022,38,No,No,3,4,Better communication from management,Yes,1
1011,2023,39,Yes,No,1,5,Improved work-life balance,No,1
1012,2022,40,Yes,No,2,1,Better communication from management,Yes,1
1012,2023,41,Yes,No,3,3,Improved work-life balance,Yes,3
1013,2018,42,Yes,Yes,5,2,More training resources,No,4
1013,2019,43,Yes,Yes,2,4,Better communication from management,No,1
1013,2020,44,No,Yes,1,2,More training resources,No,2
1013,2021,45,No,Yes,5,4,Better communication from management,No,5
1013,2022,46,Yes,No,1,5,Improved work-life balance,No,2
1013,2023,47,Yes,Yes,3,5,More training resources,Yes,2
1014,2018,48,No,No,1,4,Improved work-life balance,No,3
1014,2019,49,No,Yes,1,5,More career growth opportunities,No,4
1014,2020,50,No,No,5,3,More team collaboration opportunities,Yes,3
1014,2021,51,Yes,Yes,1,2,More training resources,No,1
1014,2022,52,No,No,4,2,More team collaboration opportunities,No,1
1015,2019,53,No,No,4,3,More training resources,No,3
1015,2020,54,No,No,1,5,More career growth opportunities,Yes,4
1015,2021,55,No,No,4,2,More training resources,No,2
1015,2022,56,Yes,Yes,5,5,More career growth opportunities,No,1
1016,2020,57,No,Yes,1,3,More career growth opportunities,No,2
1016,2021,58,Yes,No,2,1,More team collaboration opportunities,No,4
1017,2019,59,Yes,Yes,2,2,Better communication from management,No,4
1017,2020,60,No,Yes,1,1,More career growth opportunities,No,4
1017,2021,61,Yes,No,1,2,More career growth opportunities,No,1
1017,2022,62,No,Yes,4,1,More team collaboration opportunities,No,1
1017,2023,63,No,No,5,1,More team collaboration opportunities,Yes,3
1018,2018,64,No,Yes,5,3,Improved work-life balance,Yes,2
1018,2019,65,Yes,No,5,5,More team collaboration opportunities,Yes,4
1018,2020,66,No,No,3,5,Improved work-life balance,Yes,2
1018,2021,67,No,No,2,4,More training resources,No,2
1018,2022,68,No,No,1,3,More career growth opportunities,No,5
1018,2023,69,No,Yes,1,2,More career growth opportunities,Yes,3
1019,2021,70,Yes,No,5,3,More team collaboration opportunities,No,3
1019,2022,71,Yes,Yes,2,3,More career growth opportunities,Yes,1
1019,2023,72,No,Yes,3,5,More team collaboration opportunities,No,4
1021,2021,73,Yes,No,1,2,Improved work-life balance,Yes,5
1021,2022,74,No,No,4,2,More team collaboration opportunities,Yes,3
1021,2023,75,Yes,Yes,2,5,More training resources,No,3
1022,2021,76,Yes,Yes,5,1,More training resources,No,1
1022,2022,77,Yes,No,1,1,Improved work-life balance,No,2
1022,2023,78,No,No,5,1,More team collaboration opportunities,No,1
1023,2022,79,Yes,No,4,5,Improved work-life balance,Yes,4
1023,2023,80,No,Yes,3,5,More training resources,No,1
1024,2021,81,No,Yes,1,3,Better communication from management,No,2
1024,2022,82,Yes,Yes,5,2,More team collaboration opportunities,No,1
1024,2023,83,No,No,4,5,Improved work-life balance,Yes,5
1025,2019,84,Yes,No,2,2,Better communication from management,No,5
1025,2020,85,No,Yes,3,1,Better communication from management,No,5
1025,2021,86,Yes,Yes,4,1,More career growth opportunities,No,4
1025,2022,87,Yes,Yes,1,5,More career growth opportunities,No,3
1025,2023,88,Yes,No,4,2,Better communication from management,Yes,4
1026,2021,89,Yes,No,2,4,More team collaboration opportunities,Yes,3
1026,2022,90,No,No,1,2,More training resources,No,1
1026,2023,91,Yes,No,3,2,More career growth opportunities,Yes,1
1027,2018,92,Yes,No,3,5,Improved work-life balance,Yes,2
1027,2019,93,No,No,4,3,More career growth opportunities,No,4
1027,2020,94,Yes,No,4,3,More career growth opportunities,No,2
1027,2021,95,Yes,No,3,4,Better communication from management,No,5
1027,2022,96,Yes,Yes,1,1,More training resources,Yes,1
1027,2023,97,No,No,3,4,More team collaboration opportunities,Yes,3
1028,2018,98,No,No,1,1,More career growth opportunities,Yes,5
1028,2019,99,No,No,4,1,More team collaboration opportunities,No,4
1028,2020,100,Yes,Yes,1,2,Better communication from management,No,5
1028,2021,101,No,Yes,5,3,Improved work-life balance,Yes,3
1028,2022,102,No,No,1,5,More career growth opportunities,No,1
1028,2023,103,Yes,Yes,4,2,Better communication from management,Yes,5
1029,2022,104,Yes,Yes,3,5,Better communication from management,Yes,2
1029,2023,105,Yes,Yes,2,3,More training resources,Yes,1
1030,2021,106,Yes,No,1,3,Better communication from management,No,2
1030,2022,107,Yes,Yes,5,5,More team collaboration opportunities,Yes,5
1030,2023,108,No,Yes,1,4,Improved work-life balance,No,5
1031,2021,109,Yes,Yes,1,3,Better communication from management,Yes,3
1031,2022,110,No,Yes,4,3,More career growth opportunities,Yes,4
1031,2023,111,No,Yes,3,1,Improved work-life balance,No,4
1032,2018,112,Yes,No,3,3,More training resources,Yes,4
1032,2019,113,Yes,No,2,2,Better communication from management,No,1
1032,2020,114,Yes,Yes,4,5,More team collaboration opportunities,No,1
1032,2021,115,No,No,1,2,More team collaboration opportunities,No,3
1032,2022,116,No,Yes,2,5,More team collaboration opportunities,Yes,2
1032,2023,117,Yes,Yes,5,2,Better communication from management,Yes,4
1033,2020,118,Yes,No,4,5,Better communication from management,Yes,2
1033,2021,119,Yes,No,4,2,More team collaboration opportunities,No,1
1033,2022,120,No,No,5,3,More team collaboration opportunities,No,1
1033,2023,121,Yes,No,3,1,More team collaboration opportunities,No,1
1034,2021,122,No,No,5,1,Better communication from management,No,3
1034,2022,123,No,Yes,1,4,More training resources,No,3
1034,2023,124,Yes,Yes,1,2,More training resources,Yes,4
1035,2018,125,No,Yes,1,5,Better communication from management,Yes,4
1035,2019,126,Yes,Yes,4,4,More career growth opportunities,No,1
1035,2020,127,Yes,No,4,4,More team collaboration opportunities,No,2
1035,2021,128,No,No,3,1,More training resources,No,2
1035,2022,129,Yes,No,2,4,More career growth opportunities,Yes,4
1035,2023,130,Yes,No,1,2,Better communication from management,No,5
1036,2022,131,Yes,Yes,1,5,More training resources,No,3
1036,2023,132,Yes,Yes,4,3,More team collaboration opportunities,No,1
1037,2020,133,Yes,No,3,4,Improved work-life balance,Yes,5
1037,2021,134,Yes,No,5,4,Improved work-life balance,No,2
1037,2022,135,Yes,No,2,5,More team collaboration opportunities,No,3
1037,2023,136,No,No,3,2,Better communication from management,Yes,1
1038,2022,137,Yes,No,2,1,Better communication from management,No,3
1038,2023,138,Yes,No,4,3,More training resources,Yes,1
1040,2019,139,No,No,2,5,More training resources,No,2
1040,2020,140,Yes,Yes,5,2,More training resources,No,2
1040,2021,141,No,No,5,1,More training resources,Yes,1
1040,2022,142,No,No,2,3,More career growth opportunities,Yes,5
1040,2023,143,Yes,No,4,5,More training resources,Yes,4
1041,2021,144,No,Yes,2,1,More team collaboration opportunities,No,4
1041,2022,145,No,No,3,3,Better communication from management,No,2
1041,2023,146,Yes,Yes,2,5,Improved work-life balance,No,4
1042,2020,147,Yes,No,1,2,Improved work-life balance,No,2
1042,2021,148,Yes,Yes,2,4,Improved work-life balance,Yes,1
1042,2022,149,No,No,3,3,More team collaboration opportunities,No,3
1042,2023,150,No,No,1,5,Better communication from management,No,4
1043,2018,151,Yes,Yes,1,3,More team collaboration opportunities,Yes,5
1043,2019,152,Yes,Yes,3,5,Better communication from management,No,2
1043,2020,153,Yes,No,2,4,More training resources,No,2
