Employee ID,Leave Details,Leave Type,Leave Reason ID,Leave Start Date,Leave End Date,Number of Leave Days Taken,Leave Status,Leave Balance,Cost of Leave ($),Leave Liability Amount ($),Absenteeism Cost Impact ($)
1001,For fathers after the birth of a child.,Bereavement,1,12/1/2021,12/5/2021,4,Approved,23,1154.16,1154.16,1154.16
1001,Annual Leave,Annual,3,11/17/2021,11/21/2021,4,Rejected,18,1154.16,1154.16,1154.16
1001,Annual Leave,Annual,1,11/24/2021,12/5/2021,11,Rejected,16,3173.94,3173.94,3173.94
1001,Annual Leave,Annual,2,11/29/2022,12/3/2022,4,Rejected,17,1154.16,1154.16,1154.16
1001,Annual Leave,Annual,10,6/7/2022,6/11/2022,4,Rejected,18,1154.16,1154.16,1154.16
1001,Annual Leave,Annual,9,1/12/2022,1/18/2022,6,Approved,15,1731.24,1731.24,1731.24
1001,Annual Leave,Annual,7,1/1/2022,1/3/2022,2,Approved,10,577.08,577.08,577.08
1001,Annual Leave,Annual,5,11/2/2023,11/10/2023,8,Rejected,13,2308.32,2308.32,2308.32
1001,For the death of a family member.,Vacation,3,5/10/2023,5/12/2023,2,Rejected,25,577.08,577.08,577.08
1001,Annual Leave,Annual,1,10/25/2023,10/30/2023,5,Approved,10,1442.7,1442.7,1442.7
1001,Annual Leave,Annual,10,1/17/2024,1/24/2024,7,Approved,23,2019.78,2019.78,2019.78
1001,Annual Leave,Annual,3,7/31/2024,8/5/2024,5,Approved,15,1442.7,1442.7,1442.7
1001,Annual Leave,Annual,6,4/16/2024,4/19/2024,3,Rejected,17,865.62,865.62,865.62
1002,Annual Leave,Annual,7,12/17/2020,12/20/2020,3,Rejected,9,1647.99,2471.98,3295.98
1002,For observing religious holidays.,Vacation,8,11/13/2020,11/27/2020,14,Rejected,11,7690.61,11535.91,15381.22
1002,Annual Leave,Annual,1,10/24/2021,11/1/2021,8,Approved,6,4394.63,6591.95,8789.27
1002,For serious or long-term health issues.,Sick,9,12/11/2021,12/30/2021,19,Rejected,7,10437.26,15655.88,20874.51
1002,Annual Leave,Annual,4,9/21/2021,9/25/2021,4,Approved,6,2197.32,3295.98,4394.63
1002,Annual Leave,Annual,7,2/18/2021,2/23/2021,5,Rejected,11,2746.65,4119.97,5493.29
1002,For educational pursuits or exams.,"For personal growth or development, typically unpaid.",4,4/19/2022,5/2/2022,13,Approved,9,7141.28,10711.92,14282.56
1002,Annual Leave,Annual,2,7/22/2022,7/27/2022,5,Approved,13,2746.65,4119.97,5493.29
1002,"For personal growth or development, typically unpaid.",Sick,10,5/14/2022,5/17/2022,3,Rejected,13,1647.99,2471.98,3295.98
1002,For the death of a family member.,Vacation,3,2/2/2022,2/5/2022,3,Rejected,9,1647.99,2471.98,3295.98
1002,For serious or long-term health issues.,"For personal growth or development, typically unpaid.",9,8/2/2022,8/5/2022,3,Rejected,6,1647.99,2471.98,3295.98
1002,Annual Leave,Annual,1,2/5/2023,2/11/2023,6,Rejected,7,3295.98,4943.96,6591.95
1002,To serve on a jury as required by law.,"For personal growth or development, typically unpaid.",6,7/10/2023,7/15/2023,5,Rejected,9,2746.65,4119.97,5493.29
1002,Annual Leave,Annual,4,9/27/2023,9/29/2023,2,Rejected,15,1098.66,1647.99,2197.32
1002,For emergencies or critical family events.,Vacation,5,12/20/2023,12/24/2023,4,Approved,6,2197.32,3295.98,4394.63
1002,For performing public or civic duties.,"For personal growth or development, typically unpaid.",7,8/8/2023,8/14/2023,6,Approved,5,3295.98,4943.96,6591.95
1002,For fathers after the birth of a child.,"For personal growth or development, typically unpaid.",1,10/25/2024,11/3/2024,9,Approved,14,4943.96,7415.94,9887.93
1002,For the death of a family member.,Sick,3,4/1/2024,4/7/2024,6,Approved,9,3295.98,4943.96,6591.95
1002,Annual Leave,Annual,1,10/17/2024,10/22/2024,5,Approved,13,2746.65,4119.97,5493.29
1002,For performing public or civic duties.,"For personal growth or development, typically unpaid.",7,1/23/2024,2/11/2024,19,Approved,12,10437.26,15655.88,20874.51
1002,Annual Leave,Annual,4,1/4/2024,1/15/2024,11,Rejected,12,6042.62,9063.93,12085.24
1003,For caretaking responsibilities related to a child.,Sick,2,12/25/2018,12/30/2018,5,Approved,14,993.96,993.96,993.96
1003,For performing public or civic duties.,Bereavement,7,11/12/2018,11/20/2018,8,Rejected,14,1590.33,1590.33,1590.33
1003,For observing religious holidays.,Sick,8,12/13/2018,12/21/2018,8,Rejected,26,1590.33,1590.33,1590.33
1003,"For personal growth or development, typically unpaid.",Sick,10,12/6/2018,12/17/2018,11,Approved,22,2186.71,2186.71,2186.71
1003,For the death of a family member.,Vacation,3,11/23/2018,11/27/2018,4,Rejected,28,795.17,795.17,795.17
1003,Annual Leave,Annual,6,12/15/2019,12/22/2019,7,Approved,30,1391.54,1391.54,1391.54
1003,For serious or long-term health issues.,Bereavement,9,7/8/2019,7/12/2019,4,Approved,22,795.17,795.17,795.17
1003,Annual Leave,Annual,4,5/15/2020,5/17/2020,2,Rejected,21,397.58,397.58,397.58
1003,For educational pursuits or exams.,Sick,4,6/19/2021,6/22/2021,3,Rejected,28,596.37,596.37,596.37
1003,For emergencies or critical family events.,Vacation,5,8/13/2021,8/19/2021,6,Approved,27,1192.75,1192.75,1192.75
1003,For serious or long-term health issues.,Sick,9,12/18/2021,12/25/2021,7,Rejected,21,1391.54,1391.54,1391.54
1003,To serve on a jury as required by law.,Vacation,6,2/7/2021,2/14/2021,7,Rejected,24,1391.54,1391.54,1391.54
1003,For the death of a family member.,Sick,3,9/23/2022,10/3/2022,10,Rejected,10,1987.92,1987.92,1987.92
1003,For caretaking responsibilities related to a child.,Sick,2,10/31/2022,11/12/2022,12,Approved,19,2385.5,2385.5,2385.5
1003,For the death of a family member.,"For personal growth or development, typically unpaid.",3,12/4/2023,12/16/2023,12,Rejected,22,2385.5,2385.5,2385.5
1003,Annual Leave,Annual,7,1/6/2023,1/12/2023,6,Rejected,19,1192.75,1192.75,1192.75
1003,Annual Leave,Annual,4,9/27/2023,10/1/2023,4,Rejected,14,795.17,795.17,795.17
1003,For educational pursuits or exams.,Sick,4,11/24/2023,11/27/2023,3,Rejected,28,596.37,596.37,596.37
1003,Annual Leave,Annual,6,3/22/2024,3/26/2024,4,Approved,14,795.17,795.17,795.17
1003,Annual Leave,Annual,7,4/17/2024,4/20/2024,3,Approved,14,596.37,596.37,596.37
1003,Annual Leave,Annual,10,10/29/2024,11/10/2024,12,Approved,24,2385.5,2385.5,2385.5
1004,For caretaking responsibilities related to a child.,"For personal growth or development, typically unpaid.",2,6/15/2021,6/26/2021,11,Rejected,27,4140.89,6211.34,8281.79
1004,Annual Leave,Annual,8,9/25/2021,10/10/2021,15,Approved,22,5646.68,8470.01,11293.35
1004,For fathers after the birth of a child.,Bereavement,1,11/15/2021,12/3/2021,18,Approved,18,6776.01,10164.01,13552.02
1004,Annual Leave,Annual,6,6/27/2021,6/28/2021,1,Rejected,28,376.44,564.67,752.89
1004,For educational pursuits or exams.,Sick,4,12/28/2021,12/31/2021,3,Approved,25,1129.34,1694,2258.67
1004,Annual Leave,Annual,6,2/28/2022,3/14/2022,14,Rejected,20,5270.23,7905.34,10540.46
1004,Annual Leave,Annual,9,6/5/2022,6/10/2022,5,Rejected,28,1882.22,2823.34,3764.45
1004,For fathers after the birth of a child.,Sick,1,11/3/2022,11/8/2022,5,Approved,30,1882.22,2823.34,3764.45
1004,Annual Leave,Annual,6,4/13/2022,4/25/2022,12,Rejected,12,4517.34,6776.01,9034.68
1004,Annual Leave,Annual,5,7/12/2023,7/21/2023,9,Approved,20,3388.01,5082.01,6776.01
1004,Annual Leave,Annual,9,2/5/2023,2/10/2023,5,Approved,13,1882.22,2823.34,3764.45
1004,For the death of a family member.,Bereavement,3,7/25/2024,7/31/2024,6,Approved,19,2258.67,3388.01,4517.34
1004,Annual Leave,Annual,4,8/22/2024,8/25/2024,3,Approved,20,1129.34,1694,2258.67
1004,Annual Leave,Annual,4,11/19/2024,12/9/2024,20,,20,7528.9,11293.35,15057.8
