Employee ID,Performance Review Year,Performance Rating,Projects Handled,Project Target,Working Hours,Overtime,Team Size,Potential Rating,Satisfaction Score,Incentive Amount ($),Bonus ($)
1001,2021,1,12,12,1691,72,18,Low,2,833.13,1150.7
1001,2022,2,10,10,2046,222,9,Moderate,2,1998.84,2000.0
1001,2023,3,10,11,2068,253,18,High,3,2398.14,2765.87
1002,2020,3,10,11,1749,255,12,Low,5,1583.35,2888.75
1002,2021,1,10,11,1930,272,7,High,2,714.29,937.93
1002,2022,1,10,10,1889,196,1,Low,3,710.56,1000.0
1002,2023,1,10,14,1939,249,15,High,3,712.73,868.74
1003,2018,1,10,15,1512,25,13,Low,5,619.96,874.64
1003,2019,2,11,11,1997,215,4,Low,5,1718.06,2147.39
1003,2020,5,10,10,2183,241,18,Low,5,3107.18,5000.0
1003,2021,1,10,11,1812,8,15,Low,1,547.06,959.77
1003,2022,1,11,14,1990,69,6,High,4,623.51,978.59
1003,2023,3,11,12,1711,104,8,Moderate,2,1769.63,3233.13
1004,2021,1,12,13,1542,1,16,Low,3,908.1,931.99
1004,2022,3,10,10,1866,121,2,High,3,1842.08,3000.0
1004,2023,1,10,12,2249,20,16,High,4,796.37,860.83
1005,2019,4,10,10,2163,58,19,Moderate,5,3477.19,4000.0
1005,2020,3,10,13,1889,165,16,Low,5,2214.42,2741.38
1005,2021,1,12,12,2019,0,16,High,5,819.83,1160.45
1005,2022,1,11,14,2205,64,2,High,1,712.99,827.15
1005,2023,1,10,13,1820,258,13,High,1,598.63,789.2
1007,2022,4,12,12,1924,56,1,High,5,2423.43,4212.9
1007,2023,4,11,15,1837,13,14,High,4,2227.96,4053.16
1008,2019,2,12,14,1874,95,3,Moderate,4,1357.65,1841.57
1008,2020,1,10,10,2273,172,12,Moderate,2,565.83,1000.0
1008,2021,3,10,10,1972,255,4,High,2,2955.32,3000.0
1008,2022,1,12,13,1908,264,12,High,4,818.38,1120.96
1008,2023,3,11,15,1581,95,9,High,5,2075.81,3128.34
1009,2021,1,10,14,1953,216,3,High,5,679.1,824.81
1009,2022,3,12,14,2236,122,15,Moderate,3,2547.71,2934.29
1009,2023,2,10,10,1926,106,2,Low,3,1997.23,2000.0
1010,2020,1,11,15,2185,103,17,High,4,657.32,825.34
1010,2021,1,11,11,1881,83,6,Moderate,1,601.82,1066.64
1010,2022,4,10,10,1800,37,12,Low,3,2366.02,4000.0
1010,2023,1,10,15,2232,205,18,High,2,606.39,937.29
1011,2020,5,10,13,1882,271,11,Moderate,5,3248.05,4739.47
1011,2021,1,10,10,1803,39,8,High,2,674.3,1000.0
1011,2022,1,12,12,2164,212,20,High,2,660.14,1154.78
1011,2023,3,11,11,2213,281,14,Moderate,2,2539.74,3108.67
1012,2022,1,10,10,1742,53,14,Moderate,3,816.07,1000.0
1012,2023,4,11,15,2161,176,9,High,5,2765.71,4191.1
1013,2018,4,10,11,2042,253,10,High,4,2999.72,3834.81
1013,2019,3,10,12,1531,121,4,Moderate,4,1697.11,2607.71
1013,2020,2,10,10,2132,224,4,Moderate,4,1419.35,2000.0
1013,2021,3,10,10,1578,199,16,Moderate,5,1567.2,3000.0
1013,2022,4,10,13,1868,16,1,Moderate,4,2422.07,3997.95
1013,2023,3,11,13,1742,226,18,High,4,2411.69,2947.09
1014,2018,1,10,14,1912,258,16,High,2,687.26,768.39
1014,2019,4,10,12,1777,175,18,Low,3,2779.54,3674.42
