Employee ID,Resigned Date,Resigned Type,Resigned Reason,Work Environment Feedback,Management/Team Experience Score,Level at Exit,Resignation Reason ID
1006,2018-08-23,Voluntary,Moving to an organization with a better cultural fit.,Neutral,4,Mid-Level,9
1014,2021-08-27,Voluntary,Transitioning to a role with greater job security.,Negative,2,Mid-Level,10
1015,2023-03-26,Voluntary,Seeking improved work-life balance.,Neutral,4,Mid-Level,4
1016,2020-03-20,Involuntary,Seeking a role with more challenging responsibilities.,Neutral,3,Operational,13
1020,2021-01-18,Voluntary,Moving to an organization with a better cultural fit.,Negative,2,Entry,9
1039,2018-02-21,Involuntary,Pursuing higher compensation or benefits.,Positive,5,Mid-Level,2
1043,2023-03-07,Involuntary,Dissatisfaction with workload or job demands.,Negative,2,Operational,14
1047,2022-06-16,Involuntary,Looking for a position with clearer career advancement.,Positive,2,Entry,11
1055,2018-10-26,Voluntary,Pursuing higher compensation or benefits.,Positive,1,Mid-Level,2
1058,2019-07-04,Voluntary,Pursuing higher compensation or benefits.,Neutral,5,Mid-Level,2
1069,2021-01-20,Involuntary,Dissatisfaction with workload or job demands.,Positive,5,Entry,14
1070,2021-08-01,Involuntary,Dissatisfaction with workload or job demands.,Positive,5,Mid-Level,14
1073,2021-02-02,Voluntary,Health reasons requiring a career break.,Neutral,2,Mid-Level,7
1091,2018-08-06,Involuntary,Looking for a position with clearer career advancement.,Negative,3,Entry,11
1094,2020-01-18,Involuntary,Seeking a role with more challenging responsibilities.,Negative,5,Entry,13
1101,2018-08-11,Involuntary,Looking for more flexibility or remote work options.,Positive,5,Entry,15
1119,2020-06-12,Voluntary,Seeking a role with more challenging responsibilities.,Positive,3,Entry,13
1122,2023-07-24,Voluntary,Seeking better career growth opportunities.,Positive,3,Operational,1
1127,2023-04-29,Involuntary,Pursuing higher compensation or benefits.,Negative,4,Mid-Level,2
1129,2022-10-18,Voluntary,Looking for a position with clearer career advancement.,Positive,3,Mid-Level,11
1132,2022-09-30,Involuntary,Family responsibilities or personal obligations.,Negative,5,Entry,8
1135,2023-04-29,Involuntary,Desire for a more supportive work environment.,Negative,1,Operational,5
1140,2021-11-27,Involuntary,Family responsibilities or personal obligations.,Positive,2,Entry,8
1158,2020-01-26,Voluntary,Seeking a role with more challenging responsibilities.,Positive,4,Operational,13
1168,2021-05-28,Voluntary,Desire for a more supportive work environment.,Neutral,2,Operational,5
1181,2020-11-28,Voluntary,Moving to an organization with a better cultural fit.,Neutral,2,Entry,9
