Employee ID,Training Session ID,Training Completion Date,Certification Achieved
1001,4464,2021-12-21,True
1001,888,2022-08-11,True
1001,4164,2023-07-07,True
1001,4864,2024-04-22,True
1001,634,2024-06-26,True
1002,3104,2020-11-12,True
1002,3937,2020-09-02,True
1002,3142,2020-12-12,True
1002,2217,2021-08-07,True
1002,890,2022-11-08,True
1002,2542,2022-07-18,True
1002,1499,2022-06-21,False
1002,2889,2023-11-05,False
1002,3682,2023-04-23,True
1002,2427,2024-01-28,True
1002,4374,2024-09-24,True
1002,4352,2024-05-04,True
1003,3897,2018-11-11,True
1003,4262,2018-12-13,True
1003,4453,2019-04-07,True
1003,2989,2019-01-01,True
1003,2588,2019-04-23,True
1003,3426,2020-04-01,True
1003,4618,2021-10-27,True
1003,76,2021-06-30,False
1003,3894,2022-12-12,True
1003,4989,2023-05-05,True
1003,2119,2023-04-26,True
1003,1190,2024-04-24,False
1004,3103,2021-10-23,False
1004,3943,2021-10-08,True
1004,4980,2022-12-03,True
1004,1783,2022-06-07,False
1004,1251,2023-02-18,True
1004,272,2024-06-10,True
1005,4160,2019-11-05,False
1005,1236,2020-08-16,True
1005,4476,2020-09-06,True
1005,2652,2020-01-12,True
1005,2232,2021-11-21,False
1005,4258,2022-06-03,True
1005,3406,2023-04-07,False
1005,1006,2024-04-12,True
1007,3726,2022-09-24,True
1007,3901,2022-11-27,True
1007,2139,2022-12-17,True
1007,1801,2023-07-11,True
1007,1885,2023-01-24,False
1007,3498,2023-02-28,True
1007,3721,2024-03-18,True
1007,3468,2024-03-22,False
1008,1337,2019-11-29,True
1008,2796,2020-05-09,True
1008,1722,2021-10-17,True
1008,4928,2021-03-28,True
1008,1566,2021-03-28,True
1008,4033,2022-08-04,True
1008,193,2023-11-19,True
1008,3358,2023-07-12,True
1008,4128,2023-03-08,True
1008,226,2024-01-15,True
1009,1484,2021-08-22,True
1009,3209,2021-05-17,True
1009,4081,2022-05-18,True
1009,704,2022-07-12,True
1009,2036,2023-04-26,True
1009,1146,2023-03-18,True
1009,3587,2024-01-03,True
1010,3088,2020-12-05,True
1010,1272,2020-11-30,True
1010,1088,2020-12-26,False
1010,3645,2021-04-11,False
1010,1785,2022-04-04,True
1010,1380,2022-01-24,True
1010,2728,2023-09-30,True
1010,2637,2024-09-16,True
1010,2934,2024-04-07,True
1011,52,2020-12-03,True
1011,4547,2020-09-08,False
1011,196,2021-01-03,True
1011,4111,2021-08-24,True
1011,1592,2022-02-21,True
1011,3904,2023-08-13,True
1011,1138,2024-05-12,True
1011,67,2024-05-11,True
1012,1223,2022-08-19,True
1012,187,2023-06-22,False
1012,2828,2024-03-10,True
1013,1409,2018-12-16,True
1013,2451,2019-06-05,True
1013,2461,2019-05-27,False
1013,2378,2020-10-31,True
1013,992,2021-08-12,True
1013,4007,2021-10-18,True
1013,2155,2021-04-04,True
1013,1986,2022-02-04,True
1013,404,2022-08-11,True
1013,2285,2023-02-20,False
1013,2498,2023-08-17,True
1013,3261,2024-03-30,True
1013,3728,2024-04-23,True
1014,1629,2018-05-15,False
1014,3196,2018-07-15,False
1014,1555,2019-03-27,False
1014,1872,2019-04-08,True
1014,2919,2020-12-25,False
1014,1102,2020-11-04,False
1014,2188,2021-03-24,False
1014,983,2021-10-31,True
1014,4167,2022-03-17,False
1014,2281,2022-04-01,False
1014,3277,2022-03-08,False
1015,854,2019-12-02,False
1015,16,2020-04-16,False
1015,2717,2020-12-01,False
1015,3559,2020-08-05,False
1015,1964,2021-04-09,False
1015,3941,2021-04-24,False
1015,2224,2022-02-20,False
1015,1784,2022-04-22,False
1016,4711,2020-10-13,True
1016,346,2020-04-11,True
1016,329,2020-08-20,True
1016,3618,2021-01-06,True
1017,1468,2019-07-04,False
1017,1822,2020-03-22,True
1017,2984,2020-08-22,True
1017,3024,2020-06-26,True
1017,1024,2021-06-12,True
