Training Session ID,Training Name,Training Type,Duration Hours
1,Emotional Intelligence,Leadership,2
2,Team Building,Leadership,60
3,Time Management,Skill Development,60
4,Creative Thinking,Skill Development,40
5,Code of Conduct,Compliance,4
6,Time Management,Skill Development,4
7,Customer Service Excellence,Skill Development,4
8,Negotiation Skills,Skill Development,16
9,SQL for Data Management,Technical,40
10,Leadership Essentials,Leadership,40
11,Negotiation Skills,Skill Development,2
12,Data Analysis with Python,Technical,2
13,Creative Thinking,Skill Development,60
14,Customer Service Excellence,Skill Development,60
15,Strategic Planning,Leadership,60
16,Conflict Resolution,Leadership,4
17,Team Building,Leadership,40
18,Anti-Harassment Training,Compliance,16
19,Team Building,Leadership,16
20,Creative Thinking,Skill Development,60
21,Data Privacy and Security,Compliance,40
22,Problem Solving,Skill Development,4
23,Coaching and Mentoring,Leadership,8
24,Conflict Resolution,Leadership,32
25,Emotional Intelligence,Leadership,8
26,Communication Skills,Skill Development,8
27,SQL for Data Management,Technical,32
28,Coaching and Mentoring,Leadership,60
29,SQL for Data Management,Technical,4
30,Data Privacy and Security,Compliance,2
31,Financial Compliance,Compliance,40
32,Creative Thinking,Skill Development,40
33,Conflict Resolution,Leadership,8
34,Diversity and Inclusion,Compliance,8
35,Emotional Intelligence,Leadership,16
36,Leadership Essentials,Leadership,4
37,Conflict Resolution,Leadership,40
38,Diversity and Inclusion,Compliance,60
39,Data Privacy and Security,Compliance,8
40,Problem Solving,Skill Development,2
41,Data Analysis with Python,Technical,8
42,Workplace Safety,Compliance,60
43,Cybersecurity Basics,Technical,16
44,Anti-Harassment Training,Compliance,4
45,Emotional Intelligence,Leadership,60
46,Leadership Essentials,Leadership,40
47,SQL for Data Management,Technical,8
48,Advanced Excel,Technical,4
49,Diversity and Inclusion,Compliance,8
50,Cloud Computing Essentials,Technical,2
51,Workplace Safety,Compliance,2
52,Workplace Safety,Compliance,16
53,Code of Conduct,Compliance,40
54,Project Management Software Training,Technical,40
55,Team Building,Leadership,8
56,Coaching and Mentoring,Leadership,4
57,Data Privacy and Security,Compliance,4
58,Data Privacy and Security,Compliance,16
59,Customer Service Excellence,Skill Development,60
60,Customer Service Excellence,Skill Development,60
61,Data Analysis with Python,Technical,2
62,Financial Compliance,Compliance,2
63,Financial Compliance,Compliance,2
64,Data Analysis with Python,Technical,16
65,Data Analysis with Python,Technical,32
66,Anti-Harassment Training,Compliance,8
67,Data Privacy and Security,Compliance,8
68,Workplace Safety,Compliance,40
69,Cloud Computing Essentials,Technical,60
70,Code of Conduct,Compliance,16
71,Conflict Resolution,Leadership,16
72,Creative Thinking,Skill Development,60
73,Time Management,Skill Development,16
74,Strategic Planning,Leadership,40
75,Emotional Intelligence,Leadership,4
76,Problem Solving,Skill Development,8
77,Emotional Intelligence,Leadership,60
78,Diversity and Inclusion,Compliance,60
79,Workplace Safety,Compliance,2
80,SQL for Data Management,Technical,4
81,Data Analysis with Python,Technical,16
82,Cloud Computing Essentials,Technical,16
83,Coaching and Mentoring,Leadership,40
84,Emotional Intelligence,Leadership,2
85,Conflict Resolution,Leadership,2
86,Coaching and Mentoring,Leadership,2
87,Problem Solving,Skill Development,40
88,Communication Skills,Skill Development,4
89,Cloud Computing Essentials,Technical,40
90,Customer Service Excellence,Skill Development,16
91,Problem Solving,Skill Development,2
92,Data Privacy and Security,Compliance,40
93,Team Building,Leadership,4
94,Customer Service Excellence,Skill Development,8
95,Negotiation Skills,Skill Development,40
96,Financial Compliance,Compliance,8
97,Negotiation Skills,Skill Development,40
98,Financial Compliance,Compliance,2
99,Financial Compliance,Compliance,4
100,Problem Solving,Skill Development,8
101,Cloud Computing Essentials,Technical,4
102,Communication Skills,Skill Development,16
103,Financial Compliance,Compliance,4
104,Customer Service Excellence,Skill Development,4
105,Problem Solving,Skill Development,4
106,Project Management Software Training,Technical,40
107,Data Privacy and Security,Compliance,2
108,Creative Thinking,Skill Development,32
109,Data Privacy and Security,Compliance,16
110,Project Management Software Training,Technical,40
111,Time Management,Skill Development,4
112,Emotional Intelligence,Leadership,2
113,Team Building,Leadership,16
114,Workplace Safety,Compliance,8
115,Advanced Excel,Technical,8
116,Data Privacy and Security,Compliance,32
117,Cybersecurity Basics,Technical,8
118,Creative Thinking,Skill Development,2
119,Workplace Safety,Compliance,8
120,Cybersecurity Basics,Technical,40
121,Advanced Excel,Technical,40
122,Conflict Resolution,Leadership,8
123,Anti-Harassment Training,Compliance,4
124,Leadership Essentials,Leadership,32
125,Anti-Harassment Training,Compliance,2
126,Cybersecurity Basics,Technical,4
127,Cybersecurity Basics,Technical,32
128,Conflict Resolution,Leadership,8
129,Leadership Essentials,Leadership,16
130,Anti-Harassment Training,Compliance,32
131,Emotional Intelligence,Leadership,40
132,Cybersecurity Basics,Technical,4
133,Data Privacy and Security,Compliance,16
134,Leadership Essentials,Leadership,40
135,Coaching and Mentoring,Leadership,40
136,Workplace Safety,Compliance,32
137,Cloud Computing Essentials,Technical,4
138,Conflict Resolution,Leadership,2
139,Conflict Resolution,Leadership,40
140,Strategic Planning,Leadership,16
141,Project Management Software Training,Technical,8
142,Project Management Software Training,Technical,8
143,Advanced Excel,Technical,4
144,Advanced Excel,Technical,60
145,Data Analysis with Python,Technical,16
146,Coaching and Mentoring,Leadership,60
147,Negotiation Skills,Skill Development,60
148,Customer Service Excellence,Skill Development,2
149,Conflict Resolution,Leadership,60
150,Data Analysis with Python,Technical,2
151,Communication Skills,Skill Development,32
152,Creative Thinking,Skill Development,40
153,Code of Conduct,Compliance,8
154,Negotiation Skills,Skill Development,2
155,Cybersecurity Basics,Technical,8
156,SQL for Data Management,Technical,32
157,Anti-Harassment Training,Compliance,40
158,Coaching and Mentoring,Leadership,32
159,Data Analysis with Python,Technical,40
160,Cloud Computing Essentials,Technical,8
161,Problem Solving,Skill Development,16
162,Conflict Resolution,Leadership,32
163,Code of Conduct,Compliance,32
164,Creative Thinking,Skill Development,60
165,Leadership Essentials,Leadership,60
166,Project Management Software Training,Technical,4
167,Workplace Safety,Compliance,2
168,Conflict Resolution,Leadership,16
169,Project Management Software Training,Technical,2
170,Communication Skills,Skill Development,40
171,Data Analysis with Python,Technical,60
172,Project Management Software Training,Technical,16
